,context,question,answer,source_doc,groundedness_score,groundedness_eval,relevance_score,relevance_eval,standalone_score,standalone_eval
0,"Endometriosis 
Management strategies 
ISBN 978-1-4731-2661-9 
277 
Outcomes 
Illustrative comparative risks 
(95% CI) 
Relative 
effect 
(95% CI) 
No of Partici-
pants 
(studies) 
Quality of 
the 
evidence 
(GRADE) 
Assumed risk 
Corresponding 
risk 
(2.9 lower to 8.3 
higher) 
SF-12 Mental 
component score – 
At 6 months 
- 
The mean FS-
12 mental 
component 
score at 6 
months in the 
intervention 
groups was 2.3 
higher 
(4.5 lower to 9.1 
higher) 
MD 2.3 (-
4.5 to 
9.1) 
39  
(1 study) 
 
⊕⊕⊕⊝ 
Moderate1,
3 
CI: confidence interval; RR: Risk ratio; MD: mean difference; EQ-5D: EuroQol five dimensions, SF-12: 12-Item 
Short Form Survey 
1 Unclear if selective reporting 
2 Evidence was downgraded by two due to performance bias (blinding of participants and personnel and attrition 
bias (incomplete outcome data) 
3 Evidence was downgraded by one due to serious imprecision as 95%CI crossed one default MID  
4 No blinding of participants and personnel and incomplete outcome data  
5 Evidence was downgraded by two due to very serious imprecision as 95%CI crossed two default MIDs 
Table 117: Summary clinical evidence profile: Excisional surgery versus ablative 
surgery for endometriosis and endometrioma 
Outcomes 
Illustrative comparative risks (95% 
CI) 
Relative 
effect 
(95% 
CI) 
No of 
Participants 
(studies) 
Quality of the 
evidence 
(GRADE) 
Assumed 
risk 
Corresponding risk 
Diagnosti
c 
laparosco
py 
Excisional/ablation 
 
 
 
Endometriosis 
 
 
 
 
 
Pain score 
(reduction in VAS at 
12 months) - 
Overall 
- 
The mean pain score 
(reduction in VAS at 
12 months) - overall 
in the intervention 
groups was 
0 higher 
(1.22 lower to 1.22 
higher) 
MD 0 (-
1.22 to 
1.22) 
103 
(1 study) 
 
⊕⊕⊝⊝ 
Low1 
Pain score 
(reduction in VAS at 
12 months) - Pelvic 
- 
The mean pain score 
(reduction in VAS at 
12 months) - pelvic in 
the intervention 
groups was 
0.1 lower 
(1.3 lower to 1.1 
higher) 
MD -0.1 
(-1.3 to 
1.1) 
103 
(1 study) 
 
⊕⊕⊝⊝ 
Low1 
Pain score","What is the mean pain score reduction in VAS at 12 months for pelvic pain in the intervention groups for excisional/ablation surgery for endometriosis?
",The mean pain score reduction in VAS at 12 months for pelvic pain in the intervention groups for excisional/ablation surgery for endometriosis is 0.1 lower (1.3 lower to 1.1 higher).,NICE-2017.pdf,2.0,"The context provides the mean pain score reduction in VAS at 12 months for pelvic pain in the intervention groups for excisional/ablation surgery for endometriosis, which is -0.1 (1.3 lower to 1.1 higher). However, it does not provide the mean pain score reduction in VAS at 12 months for all types of pain in the intervention groups for excisional/ablation surgery for endometriosis. Therefore, I cannot give a complete answer to the question.
",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis therapy or treating a patient with endometriosis. The question asks about the mean pain score reduction in VAS at 12 months for pelvic pain in the intervention groups for excisional/ablation surgery for endometriosis. This information is important for gynecologists to understand the effectiveness of excisional/ablation surgery for endometriosis in reducing pelvic pain.
",5.0,"The question is about the mean pain score reduction in VAS at 12 months for pelvic pain in the intervention groups for excisional/ablation surgery for endometriosis. It is a question that can be understood by itself, without any additional context.
"
1,"dometriosis 9 has proven useful in routine clinical practice; it takes into account the concept of a single
disease entity.
In decreasing order of frequency, the following are involved: pelvic peritoneum, ovaries, uterosacral
ligaments, rectovaginal septum/vaginal fornix, and extragenital sites (e.g., rectosigmoid colon and uri‐
nary bladder).
The incidence of involvement of the uterus (adenomyosis) and tubes is not entirely clear. The diaphrag‐
matic peritoneum 137, 
155, the vermiform appendix 71 and the umbilicus 197 are rare but typical extra‐
genital sites. Endometriosis also occurs in surgical scars following hysterectomy, cesarean section, epi‐
siotomy, and perineal lacerations 19, 
62, 
144, 
167. It is debated that this may be caused by the mechani‐
cal transfer of endometrial particles. Manifestations in the spleen, lungs, kidneys, brain or skeleton are
rare.
Patient information – Causes of endometriosis
The causes of the development of endometriosis have not yet been scientifically proven. No
causal treatment options are, therefore, available at present which might enable endometriosis
to be eliminated completely or cured. There is also no treatment available that prevents en‐
dometriosis from developing in the first place.
Endometriosis and malignancy Core statements:","What are the rare extra-genital sites of endometriosis?
","The diaphragmatic peritoneum, the vermiform appendix, and the umbilicus are rare extra-genital sites of endometriosis.",S2k-2014.pdf,3.0,"The context provides a list of extra-genital sites of endometriosis, including the diaphragmatic peritoneum, the vermiform appendix, and the umbilicus. It also mentions that endometriosis can occur in surgical scars and that manifestations in the spleen, lungs, kidneys, brain, or skeleton are rare. Therefore, the question is answerable with the context, but it does not provide a comprehensive list of all possible rare extra-genital sites. ",1.0,"This question is not related to machine learning, natural language processing, or the Hugging Face ecosystem. It is a medical question about endometriosis. Therefore, it is not useful for machine learning developers building NLP applications with the Hugging Face ecosystem.
",5.0,"This question is context-independent and does not require any additional information to be understood. It is clear from the question that the answer should list the rare extra-genital sites of endometriosis.

"
2,"Preoperative treatment with the anti-TNFa antibody inﬂiximab
does not reduce pain symptoms or lesion volume in patients with
rectovaginal septum disease (LoE2). In the postoperative setting,
goserelin alone for 6 months is associated with a higher 2-year
recurrence rate than the combination of goserelin + anastrazole
(LoE2). A 6-month course of the selective oestrogen receptor
modulator raloxifene after complete surgical excision of endome-
triosis is associated with more rapid and more frequent recurrence
of pain symptoms than with placebo (LoE2).
Selective oestrogen receptor modulators are not recommended
after surgery for endometriosis (Grade B). In the absence of data,
aromatase inhibitors, selective oestrogen receptor modulators, selec-
tive progesterone receptor modulators, and TNFa inhibitors are not
recommended for managing endometriosis-related pain (Grade C).
The current data do not yet justify recommending elagolix for the
treatment of endometriosis-related pain outside the clinical trial
setting (Grade C).
These recommendations could be revised once the results of
ongoing clinical trials are available.
Hormonal therapy for endometriosis-related pain in
adolescents
In light of their efﬁcacy against dysmenorrhoea and endometriosis-
related pain in adults, and their tolerability, a CHC or low-dose
progestogen contraceptive is recommended as ﬁrst-line therapy for
adolescents with endometriosis-related pain when not contraindica-
ted (Expert Consensus) [14]. If the ﬁrst-line strategy fails, the opinion
of a specialist is recommended in order to determine the best
diagnostic and treatment strategy to adopt (Expert Consensus).
Dienogest and GnRHas are effective against endometriosis-
related pain in adolescents (LoE2) [14].
Given the risks of bone demineralization, GnRHas are not
recommended for adolescent patients (Grade B). GnRHas must not
be prescribed before the age of 16 years (18 years of age according
to 
the 
marketing 
authorization). 
The 
maximum","What is the recommended first-line therapy for adolescents with endometriosis-related pain?
",A CHC or low-dose progestogen contraceptive is recommended as first-line therapy for adolescents with endometriosis-related pain when not contraindicated.,CNGOF-2018.pdf,,,,,,
3,"CHAPTER 3
Medical Management of Pain Associated
With Endometriosis
E
ndometriosis is a chronic and often progressive inflam-
matory condition of the pelvis whose predominant
symptom is pain. The overall amount of endometriosis is
not related to the frequency or severity of symptoms, and
the condition’s etiology remains unknown. Thus, by neces-
sity, medical therapy is non-specific and aimed at alleviating
symptoms. Since there is no cure, medical treatments must
be effective and safe to use until the age of menopause or
until pregnancy is desired. See Figure.
IS PRIOR LAPAROSCOPY REQUIRED?
Laparoscopy is not always necessary before medical man-
agement of pelvic pain is started. In women with severe
dysmenorrhea or chronic pelvic pain that is compromising
their quality of life, management of the pain is required
whether or not endometriosis is the cause. Since all the
management strategies for endometriosis are relatively gen-
eral strategies to decrease inflammatory conditions in the
pelvis, the treatments are applicable to pelvic pain whether a
diagnosis of endometriosis is made or not.
The presence of endometriosis can be strongly suspected in
cases of severe dysmenorrhea unresponsive to NSAID
treatment, with pelvic tenderness and nodularity on palpation
of the uterosacral ligaments and rectovaginal septum, or
with ultrasound documentation of an ovarian cyst with an
appearance typical of an endometrioma. In these situations,
laparoscopy for diagnosis is not necessary before medical
treatment. Laparoscopy should generally be performed only
if the surgeon is prepared to vaporize or excise lesions if
endometriosis is discovered, since there is good evidence
that surgical management provides long-term pain relief for
up to 50% of patients with endometriosis.1–3
COMBINED ESTROGEN AND PROGESTIN THERAPY
The use of oral contraceptives that combine estrogen and
progestin is considered first-line treatment for pelvic pain","What is the first-line treatment for pelvic pain?
",The use of oral contraceptives that combine estrogen and progestin is considered first-line treatment for pelvic pain.,SOGC-2010.pdf,3.0,"The context provides information about the medical management of pain associated with endometriosis, specifically the use of combined estrogen and progestin therapy as first-line treatment for pelvic pain. The question asks about the first-line treatment for pelvic pain in general, not just in the context of endometriosis. However, the context does not provide any information about other potential first-line treatments for pelvic pain that are not related to endometriosis. Therefore, while the context does provide an answer to the question, it is not a comprehensive answer that covers all possible causes of pelvic pain. Based on this reasoning, I would rate the total rating as a 3.
",4.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis therapy or treating a patient with endometriosis, as pelvic pain is a common symptom of endometriosis. The first-line treatment for pelvic pain can vary depending on the cause, and endometriosis is one of the possible causes. Therefore, it is important to consider endometriosis as a potential cause of pelvic pain when diagnosing, planning a therapy or treating a patient.
",5.0,"This question is context-independent, as it is a common medical term.
"
4,"For assessing the effectiveness of treatments, the Committee identified pain relief, health-
related quality of life (QoL) and adverse events as critical outcomes for which NMA could be 
used to aid decision-making. NMAs were performed on these outcomes where evidence was 
available.  
Pain relief 
For pain relief, the visual analogue scale (VAS) was considered by the Committee to be the 
most widely used useful pain scale for which data would be available. A series of subscales 
first reported by Biberoglu and Behrman (1981) were also frequently used in studies of 
hormonal treatments and NMAs of these subscales were also performed to provide 
additional information on pain relief. There was sufficient evidence available for NMA for 
dysmenorrhoea, dyspareunia and non-menstrual pelvic pain subscales, though not for 
induration and pelvic tenderness subscales. Therefore induration and pelvic tenderness were 
analysed within a separate pairwise comparison analysis. Dysmenorrhoea and non-
menstrual pelvic pain were used in a multivariate analysis to inform the VAS scale, so their 
results are not presented separately here. 
Health-related QoL  
For health-related QoL, the Short Form 36 Health Survey (SF-36) was determined by the 
Committee to the most useful scale that was widely used in the literature. However, there 
were not a sufficient number of studies available from the systematic review to allow for 
NMA. Therefore these studies were analysed within the separate pairwise comparison 
analysis where appropriate.","What scale was used to measure health-related QoL?
",The Short Form 36 Health Survey (SF-36),NICE-2017.pdf,1.0,"The context provides information about the methods used to measure pain relief, but it does not provide any information about the scale used to measure health-related QoL. The context only mentions that the Short Form 36 Health Survey (SF-36) was determined by the Committee to be the most useful scale for measuring health-related QoL, but it does not provide any information about the scale itself. Therefore, it is not possible to answer the question unambiguously with the given context.
",3.0,"This question is useful for understanding the methodology of the study and the validity of the results. If the health-related QoL was measured using a non-standardized or non-validated scale, the results may not be comparable to other studies or may not accurately reflect the patients' actual QoL.
",,
5,"adolescent girls, Archives of Gynecology & Obstetrics, 261, 89-93, 1998 
Shakiba et al. 2008 
Shakiba K, Bena JF, McGill KM, Minger J, Falcone T. Surgical treatment of endometriosis: a 
7-year follow-up on the requirement for further surgery. Obstetrics and Gynecology, 111, 
1285-92, 2008Falcone et al., 2008 
Fedele et al., 1989b 
Fedele, L., Bianchi, S., Arcaini, L., Vercellini, P., Candiani, G. B., Buserelin versus danazol in 
the treatment of endometriosis-associated infertility, American Journal of Obstetrics and 
Gynecology, 161, 871-876, 1989 
Fedele et al., 1992 
Fedele, L., Parazzini, F., Radici, E., Bocciolone, L., Bianchi, S., Bianchi, C., Candiani, G. B., 
Buserelin acetate versus expectant management in the treatment of infertility associated with 
minimal or mild endometriosis: a randomized clinical trial, American Journal of Obstetrics and 
Gynecology, 166, 1345-1350, 1992","What is the name of the study that compared Buserelin acetate versus expectant management in the treatment of infertility associated with minimal or mild endometriosis?
","The name of the study is ""Buserelin acetate versus expectant management in the treatment of infertility associated with minimal or mild endometriosis: a randomized clinical trial"".",NICE-2017.pdf,2.0,"The context provides the name of the study, which is ""Shakiba et al. 2008"". However, the context does not provide the exact title of the study, only the authors and the year of publication. Therefore, it is not possible to unambiguously determine the name of the study. ",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis therapy or treating a patient with endometriosis, as it refers to a study that compares two different treatment options for infertility associated with minimal or mild endometriosis. Knowing the name of this study can help gynecologists to make informed decisions about the best treatment options for their patients.
",5.0,"This question is context-independent, as it refers to a specific study, but does not require any additional information to be understood.
"
6,"2010;32(6):598-608.
SRS 2007
Practice Committee of the American Society for Reproductive
Medicine: Society of Reproductive Surgeons. Pathogenesis,
consequences and control of peritoneal adhesions in
gynecologic surgery. Fertility & Sterility 2007;88:21-6.
Ten Broek 2013
ten Broek RP, Stommel MW, Strik C, van Laarhoven CJ, Keus F,
van Goor H. Burden of adhesions in abdominal and pelvic
surgery: systematic review and meta-analysis. BMJ 2013;3:347.
Wiseman 1999
Wiseman DM, Trout JR, Franklin RR, Diamond MP. Metaanalysis
of safety and eficacy of an absorbable adhesion barrier
(INTERCEED TC7) in laparotomy. Journal of Reproductive
Medicine 1999;44(4):325-31.
 
References to other published versions of this review
Ahmad 2015
Ahmad G, O'Flynn H, Hindocha A, Watson A. Barrier agents
for adhesion prevention afer gynaecological surgery.
Cochrane Database of Systematic Reviews 2015, Issue 4. [DOI:
10.1002/14651858.CD000475.pub3]
Farquhar 1999
Farquhar C, Vandekerchove P, Watson A, Vail A, Wiseman D.
Barrier agents for preventing adhesions afer surgery for
preventing subfertility. Cochrane Database of Systematic
Reviews 1999, Issue 2. [DOI: 10.1002/14651858.CD000475]
Barrier agents for adhesion prevention afer gynaecological surgery (Review)
Copyright © 2020 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.
27","What is the name of the Cochrane Review on barrier agents for adhesion prevention after gynaecological surgery?
",The name of the Cochrane Review is 'Barrier agents for adhesion prevention afer gynaecological surgery'.,cochrane-adhesion-2020.pdf,5.0,"The context provides a reference to the Cochrane Review on barrier agents for adhesion prevention after gynaecological surgery. The reference includes the title of the review, the authors, and the publication details. Therefore, the question is clearly and unambiguously answerable with the context.

",5.0,"This question is useful for Gynecologists diagnosing endometriosis, planning a endometriosis therapy or treating a patient with endometriosis because it allows them to access a high-quality systematic review on the use of barrier agents for adhesion prevention after gynaecological surgery. This can help them make informed decisions about the use of these agents in their clinical practice.
",5.0,"The question is clear and does not require any additional information to be understood.

"
7,"Endometriosis 
Diagnosis 
ISBN 978-1-4731-2661-9 
150 
The option of a research recommendation was discussed but the Committee agreed that this 
methodology would never be specific enough to diagnose endometriosis and therefore 
further research would, most likely, not provide evidence that would support a positive or 
negative recommendation for this. 
9.3.3.7.6 
Key conclusions 
The Committee decided not to make a recommendation or a research recommendation 
based on their discussion about PGP 9.5. This is mainly due to the fact that this methodology 
in not specific as a diagnostic tool to detect endometriosis. It was agreed that as a method of 
testing it requires standardisation in methodology, it is not routinely used in current practice, 
it is not conclusively validated and utilised in most laboratories and is expensive.  
9.3.3.8 
Recommendations 
No recommendation was made.  
9.3.3.9 
Research recommendations  
No research recommendation was made. 
9.4 Magnetic resonance imaging (MRI) 
Review question: What is the accuracy of MRI in diagnosing endometriosis?  
9.4.1 
Introduction  
MRI is a non-invasive test for the diagnosis of endometriosis and, if it is accurate, it could 
lead to the diagnosis without the need for a surgical procedure or it could decrease the need 
for it.  
The aim of this review was to evaluate the accuracy of MRI for the diagnosis of 
endometriosis in women with suspected endometriosis.  
For full details see review protocol in Appendix D. 
9.4.2 
Description of clinical evidence 
Two studies were included in this review. Evidence was available from 1 Cochrane 
systematic review (Nisenblat 2016) and 1 observational study (Arrive 1989). Seventeen 
studies within the Cochrane systematic review were relevant (Abrao 2007, Ascher 1995, 
Bazot 2009, Bazot 2013, Biscaldi 2014, Chamie 2009, Ha 1994, Hottat 2009, Grasso 2010, 
Manganaro 2012a, Manganaro 2012b, Manganaro 2013, Okada 1995, Stratton 2003,","What is the accuracy of MRI in diagnosing endometriosis?
","The accuracy of MRI in diagnosing endometriosis is evaluated in a review, which includes two studies, one Cochrane systematic review, and 17 relevant studies within the Cochrane systematic review.",NICE-2017.pdf,5.0,"The context provides enough information to answer the question unambiguously. The context states that MRI is a non-invasive test for the diagnosis of endometriosis and, if it is accurate, it could lead to the diagnosis without the need for a surgical procedure or it could decrease the need for it. The context also states that the aim of the review was to evaluate the accuracy of MRI for the diagnosis of endometriosis in women with suspected endometriosis. The context also states that two studies were included in this review and evidence was available from 1 Cochrane systematic review and 1 observational study. The context also states that seventeen studies within the Cochrane systematic review were relevant. Therefore, the answer to the question is clearly and unambiguously answerable with the context.

",4.0,"MRI is a non-invasive imaging technique that can be used to diagnose endometriosis. Its accuracy is reported to be around 75-90% in detecting endometriosis. However, the accuracy can vary depending on the severity of the disease, the location of the lesions, and the expertise of the radiologist interpreting the images. Therefore, MRI can be a useful tool in diagnosing endometriosis, but it should not be relied upon as the sole method of diagnosis.
",5.0,"This question is context-independent, as it refers to a medical procedure and a medical condition, both of which are widely known.
"
8,"Figure 2. The recommended diagnostic process for endometriosis. DE, deep endometriosis; US, ultrasound.
ESHRE guideline endometriosis
5","What is the recommended diagnostic process for endometriosis?
",The recommended diagnostic process for endometriosis is a process that involves ultrasound (US) and deep endometriosis (DE) as shown in Figure 2 of the ESHRE guideline for endometriosis.,ESHRE-2022.pdf,5.0,"The context provides a clear and unambiguous answer to the question, as it is a figure from the ESHRE guideline for endometriosis, which shows the recommended diagnostic process for endometriosis. The figure includes the steps of the diagnostic process, and the recommended tests to perform. Therefore, the total rating is 5.

",5.0,"This question is extremely useful for gynecologists diagnosing endometriosis as it outlines the recommended diagnostic process. This is crucial information for ensuring accurate and timely diagnosis, which can significantly improve patient outcomes.
",5.0,"The question is about a medical condition, endometriosis, and the recommended diagnostic process. It is a clear question, and it does not require any additional context to be understood.
"
9,"Endometriosis 
Management strategies 
ISBN 978-1-4731-2661-9 
183 
pharmacologic agents proportional to the level of pain reported. The initial step uses oral 
administration of non-opioids such as paracetamol or NSAIDs. If pain is not controlled, then 
mild opioids such as codeine are tried and, as a last step, strong opioids such as morphine 
are used until the patient’s pain is alleviated. One benefit of the stepped approach is that 
adverse events can be discovered throughout the process.  
The Committee discussed whether the addition of an opioid analgesic could be considered if 
pain was not adequately controlled after a trial period. However, the potential adverse effects 
of opioid analgesia, such as dependency, were recognised, given the chronic nature of 
endometriosis-related pain and, particularly, constipation. Therefore, the Committee 
concluded that a referral for diagnosis might be more appropriate and that there were other 
treatment options available.  
The Committee also considered whether a research recommendation should be drafted for 
this topic. They agreed that research into analgesia in the management of pain related to 
endometriosis is not a priority for this guideline because there is sufficient indirect evidence 
from other conditions available to draw upon. 
The Committee considered whether any different recommendations were necessary for 
adolescent women but concluded that none were required. 
11.1.1.6.6 
Key conclusions 
The Committee concluded that a short trial of analgesics for first line management of pain in 
women with endometriosis-related pain is appropriate. 
11.1.1.7 
Recommendations 
32. For women with endometriosis-related pain, discuss the benefits and risks of 
analgesics, taking into account any comorbidities and the woman's preferences. 
33. Consider a short trial (for example, 3 months) of paracetamol or a non-steroidal 
anti-inflammatory drug (NSAID) alone or in combination for first-line management","What is the first line management for endometriosis-related pain?
",A short trial of analgesics is appropriate for first line management of pain in women with endometriosis-related pain.,NICE-2017.pdf,5.0,"The context provides a clear answer to the question. It states that the first line management for endometriosis-related pain is a short trial of paracetamol or a non-steroidal anti-inflammatory drug (NSAID) alone or in combination. Therefore, the total rating is 5.
",5.0,"This question is extremely useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. It is important to know the first line management for endometriosis-related pain as it can help in reducing the pain and improving the quality of life of the patient.
",5.0,"This question is context-independent, as it refers to a medical condition and its first line management. It does not require any additional information to be understood.
"
